metric,value
cv_brier,0.022272295812120597
cv_log_loss,0.10871343746884078
baseline_brier,0.022272317399487148
baseline_log_loss,0.10871391489395783
brier_improvement,2.158736655058502e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.04
observed_draws,1083
target_date,2026-08-12
forecast_kind,live_pre_draw
generated_at_utc,2026-08-12T11:24:33+00:00
data_cutoff_date,2026-08-11
history_calendar_start,2023-08-13
history_calendar_end,2026-08-11
