metric,value
cv_brier,0.022264426924132785
cv_log_loss,0.10868201058098402
baseline_brier,0.022264472173659944
baseline_log_loss,0.10868300886899517
brier_improvement,4.5249527159951786e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.06
observed_draws,1083
target_date,2026-09-01
forecast_kind,live_pre_draw
generated_at_utc,2026-09-01T13:48:34+00:00
data_cutoff_date,2026-08-31
history_calendar_start,2023-09-02
history_calendar_end,2026-08-31
