metric,value
cv_brier,0.022251342315811645
cv_log_loss,0.10863030802313113
baseline_brier,0.022251396797281272
baseline_log_loss,0.10863149882739068
brier_improvement,5.4481469627387646e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.08
observed_draws,1083
target_date,2026-09-17
forecast_kind,live_pre_draw
generated_at_utc,2026-09-17T13:56:50+00:00
data_cutoff_date,2026-09-16
history_calendar_start,2023-09-18
history_calendar_end,2026-09-16
