metric,value
cv_brier,0.02226443478886723
cv_log_loss,0.10868218655588252
baseline_brier,0.022264472173659944
baseline_log_loss,0.10868300886899517
brier_improvement,3.73847927129245e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.06
observed_draws,1083
target_date,2026-08-30
forecast_kind,live_pre_draw
generated_at_utc,2026-08-30T14:05:52+00:00
data_cutoff_date,2026-08-29
history_calendar_start,2023-08-31
history_calendar_end,2026-08-29
