metric,value
cv_brier,0.02225134277934004
cv_log_loss,0.1086303148173894
baseline_brier,0.022251396797281272
baseline_log_loss,0.10863149882739068
brier_improvement,5.401794123116588e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.08
observed_draws,1083
target_date,2026-09-19
forecast_kind,live_pre_draw
generated_at_utc,2026-09-19T12:46:37+00:00
data_cutoff_date,2026-09-18
history_calendar_start,2023-09-20
history_calendar_end,2026-09-18
