metric,value
cv_brier,0.0029910000089940015
cv_log_loss,0.020422925968690348
baseline_brier,0.0029910000089940015
baseline_log_loss,0.020422925968690348
brier_improvement,0.0
validation_draws,540
allowed_recipes,long_only
target,g6_exact
positions_per_draw,3
theoretical_baseline,0.002997000999999999
selected_recipe,long_only
selected_blend,0.0
observed_draws,1083
target_date,2026-09-01
forecast_kind,live_pre_draw
generated_at_utc,2026-09-01T13:48:35+00:00
data_cutoff_date,2026-08-31
history_calendar_start,2023-09-02
history_calendar_end,2026-08-31
