metric,value
cv_brier,0.0029910000089940006
cv_log_loss,0.020422925968690345
baseline_brier,0.0029910000089940006
baseline_log_loss,0.020422925968690345
brier_improvement,0.0
validation_draws,540
allowed_recipes,long_only
target,g6_exact
positions_per_draw,3
theoretical_baseline,0.002997000999999999
selected_recipe,long_only
selected_blend,0.0
observed_draws,1083
target_date,2026-08-30
forecast_kind,live_pre_draw
generated_at_utc,2026-08-30T14:05:52+00:00
data_cutoff_date,2026-08-29
history_calendar_start,2023-08-31
history_calendar_end,2026-08-29
